Chain_ID,Squad,from,to,Type,chains.start,chain.end,Dist_to_Goal
686,GWS GIANTS,Sam Taylor,Connor Idun,Kick Backwards,Intercept,Stoppage,155.3
686,GWS GIANTS,Connor Idun,Lachie Whitfield,Kick Effective Short,Intercept,Stoppage,159.7
686,GWS GIANTS,Lachie Whitfield,Lachie Ash,Kick Effective Short,Intercept,Stoppage,155.9
686,GWS GIANTS,Lachie Ash,Tom Green,Kick Effective Short,Intercept,Stoppage,148
686,GWS GIANTS,Tom Green,Lachie Ash,Kick Effective Short,Intercept,Stoppage,130.4
686,GWS GIANTS,Lachie Ash,Lachie Whitfield,Kick Effective Short,Intercept,Stoppage,128.2
686,GWS GIANTS,Lachie Whitfield,Lachie Ash,Handball Effective,Intercept,Stoppage,116.4
686,GWS GIANTS,Lachie Ash,Toby Greene,Kick Effective Long,Intercept,Stoppage,107.2
686,GWS GIANTS,Toby Greene,,Kick Ineffective,Intercept,Stoppage,77.5
688,GWS GIANTS,Lachie Ash,Lachie Whitfield,Handball Effective,Intercept,Stoppage,86.7
688,GWS GIANTS,Lachie Whitfield,Toby McMullin,Handball Effective,Intercept,Stoppage,81.7
688,GWS GIANTS,Toby McMullin,Tom Green,Handball Effective,Intercept,Stoppage,79
690,GWS GIANTS,Jack Buckley,Aaron Cadman,Kick Effective Short,Intercept,Stoppage,113.1
690,GWS GIANTS,Aaron Cadman,Josh Kelly,Kick Effective Short,Intercept,Stoppage,91.9
690,GWS GIANTS,Josh Kelly,Lachie Whitfield,Kick Effective Short,Intercept,Stoppage,83.6
690,GWS GIANTS,Lachie Whitfield,Nick Haynes,Kick Effective Short,Intercept,Stoppage,70.3
690,GWS GIANTS,Nick Haynes,Jacob Wehr,Kick Effective Short,Intercept,Stoppage,71.3
690,GWS GIANTS,Jacob Wehr,Connor Idun,Handball Effective,Intercept,Stoppage,63.2
690,GWS GIANTS,Connor Idun,,Kick Effective Long,Intercept,Stoppage,67.9
692,GWS GIANTS,Sam Taylor,Nick Haynes,Kick Backwards,Intercept,Score,110.6
692,GWS GIANTS,Nick Haynes,Jack Buckley,Kick Effective Short,Intercept,Score,127.3
692,GWS GIANTS,Jack Buckley,Lachie Ash,Kick Effective Short,Intercept,Score,113.7
692,GWS GIANTS,Lachie Ash,,Kick Ineffective,Intercept,Score,94.1
692,GWS GIANTS,Lachie Whitfield,Sam Taylor,Handball Effective,Intercept,Score,88.6
692,GWS GIANTS,Sam Taylor,Nick Haynes,Knock On,Intercept,Score,98.3
692,GWS GIANTS,Nick Haynes,Harry Himmelberg,Kick Effective Short,Intercept,Score,96.8
692,GWS GIANTS,Harry Himmelberg,Callum M. Brown,Kick Effective Short,Intercept,Score,87.3
692,GWS GIANTS,Callum M. Brown,Xavier O'Halloran,Kick Effective Short,Intercept,Score,82
692,GWS GIANTS,Xavier O'Halloran,Josh Kelly,Kick Effective Short,Intercept,Score,72.8
692,GWS GIANTS,Josh Kelly,,Kick Effective Long,Intercept,Score,53.2
694,GWS GIANTS,Lachie Whitfield,Harvey Thomas,Kick Effective Short,Stoppage,Turnover,93.6
694,GWS GIANTS,Harvey Thomas,Nick Haynes,Handball Effective,Stoppage,Turnover,95.5
696,GWS GIANTS,Harry Himmelberg,Harvey Thomas,Handball Effective,Stoppage,Turnover,140.7
696,GWS GIANTS,Harvey Thomas,Lachie Whitfield,Handball Effective,Stoppage,Turnover,130.2
696,GWS GIANTS,Lachie Whitfield,,Handball Ineffective,Stoppage,Turnover,130.8
697,GWS GIANTS,Harvey Thomas,,Ground Kick,Intercept,Turnover,53.7
698,GWS GIANTS,Lachie Whitfield,Jake Riccardi,Kick Effective Long,Intercept,Turnover,111.1
698,GWS GIANTS,Jake Riccardi,,Kick Ineffective,Intercept,Turnover,72.2
700,GWS GIANTS,Toby Bedford,Josh Kelly,Handball Effective,Intercept,Turnover,56.6
702,GWS GIANTS,Tom Green,Stephen Coniglio,Handball Effective,Stoppage,Stoppage,89.6
702,GWS GIANTS,Stephen Coniglio,Harry Himmelberg,Handball Ineffective,Stoppage,Stoppage,89.1
702,GWS GIANTS,Harry Himmelberg,Josh Kelly,Handball Effective,Stoppage,Stoppage,84.6
702,GWS GIANTS,Josh Kelly,,Kick Effective Long,Stoppage,Stoppage,66.9
704,GWS GIANTS,Toby Bedford,Kieren Briggs,Kick Ineffective,Intercept,Stoppage,70.1
704,GWS GIANTS,Aaron Cadman,Brent Daniels,Handball Effective,Intercept,Stoppage,38
704,GWS GIANTS,Brent Daniels,Callum M. Brown,Kick Effective Short,Intercept,Stoppage,35.5
706,GWS GIANTS,Lachie Ash,,Kick Effective Long,Intercept,Turnover,67.3
709,GWS GIANTS,Josh Kelly,Tom Green,Handball Effective,Stoppage,Pre-Clearance Turnover,42.6
709,GWS GIANTS,Tom Green,Toby Greene,Handball Effective,Stoppage,Pre-Clearance Turnover,46.8
711,GWS GIANTS,Tom Green,Toby Greene,Kick Effective Short,Stoppage,Score,85.2
711,GWS GIANTS,Toby Greene,Jesse Hogan,Kick Effective Short,Stoppage,Score,72.3
711,GWS GIANTS,Jesse Hogan,,Kick Effective Long,Stoppage,Score,44.2
